season,ccode,played,won,drawn,lost,scored,conceded,goal_diff,points,league_position
1999_2000,WHU,38,15,10,13,52,53,-1,55,9
1999_2000,TOT,38,15,8,15,57,49,8,53,10
1999_2000,NEW,38,14,10,14,63,54,9,52,11
1999_2000,MID,38,14,10,14,46,52,-6,52,12
1999_2000,EVE,38,12,14,12,59,49,10,50,13
1999_2000,COV,38,12,8,18,47,54,-7,44,14
1999_2000,SOU,38,12,8,18,45,62,-17,44,15
1999_2000,DER,38,9,11,18,44,57,-13,38,16
1999_2000,BRA,38,9,9,20,38,68,-30,36,17
1999_2000,WIM,38,7,12,19,46,74,-28,33,18
1999_2000,SHW,38,8,7,23,38,70,-32,31,19
1999_2000,WAT,38,6,6,26,35,77,-42,24,20
1998_1999,MUN,38,22,13,3,80,37,43,79,1
1998_1999,ARS,38,22,12,4,59,17,42,78,2
1998_1999,CHE,38,20,15,3,57,30,27,75,3
1998_1999,LEE,38,18,13,7,62,34,28,67,4
1998_1999,WHU,38,16,9,13,46,53,-7,57,5
1998_1999,AVL,38,15,10,13,51,46,5,55,6
1998_1999,LIV,38,15,9,14,68,49,19,54,7
1998_1999,DER,38,13,13,12,40,45,-5,52,8
1998_1999,MID,38,12,15,11,48,54,-6,51,9
1998_1999,LEI,38,12,13,13,40,46,-6,49,10
1998_1999,TOT,38,11,14,13,47,50,-3,47,11
1998_1999,SHW,38,13,7,18,41,42,-1,46,12
1998_1999,NEW,38,11,13,14,48,54,-6,46,13
1998_1999,EVE,38,11,10,17,42,47,-5,43,14
1998_1999,COV,38,11,9,18,39,51,-12,42,15
1998_1999,WIM,38,10,12,16,40,63,-23,42,16
1998_1999,SOU,38,11,8,19,37,64,-27,41,17
1998_1999,CHA,38,8,12,18,41,56,-15,36,18
1998_1999,BLB,38,7,14,17,38,52,-14,35,19
1998_1999,NFO,38,7,9,22,35,69,-34,30,20
1997_1998,ARS,38,23,9,6,68,33,35,78,1
1997_1998,MUN,38,23,8,7,73,26,47,77,2
1997_1998,LIV,38,18,11,9,68,42,26,65,3
1997_1998,CHE,38,20,3,15,71,43,28,63,4
1997_1998,LEE,38,17,8,13,57,46,11,59,5
1997_1998,BLB,38,16,10,12,57,52,5,58,6
1997_1998,AVL,38,17,6,15,49,48,1,57,7
1997_1998,WHU,38,16,8,14,56,57,-1,56,8
1997_1998,DER,38,16,7,15,52,49,3,55,9
1997_1998,LEI,38,13,14,11,51,41,10,53,10
1997_1998,COV,38,12,16,10,46,44,2,52,11
1997_1998,SOU,38,14,6,18,50,55,-5,48,12
1997_1998,NEW,38,11,11,16,35,44,-9,44,13
1997_1998,WIM,38,10,14,14,34,46,-12,44,14
1997_1998,TOT,38,11,11,16,44,56,-12,44,15
1997_1998,SHW,38,12,8,18,52,67,-15,44,16
1997_1998,EVE,38,9,13,16,41,56,-15,40,17
1997_1998,BOL,38,9,13,16,41,61,-20,40,18
1997_1998,BAR,38,10,5,23,37,82,-45,35,19
1997_1998,CRY,38,8,9,21,37,71,-34,33,20
1996_1997,ARS,38,19,11,8,62,32,30,68,3
1996_1997,LIV,38,19,11,8,62,37,25,68,4
1996_1997,AVL,38,17,10,11,47,34,13,61,5
1996_1997,CHE,38,16,11,11,58,55,3,59,6
1996_1997,SHW,38,14,15,9,50,51,-1,57,7
1996_1997,WIM,38,15,11,12,49,46,3,56,8
1996_1997,LEI,38,12,11,15,46,54,-8,47,9
1996_1997,TOT,38,13,7,18,44,51,-7,46,10
1996_1997,LEE,38,11,13,14,28,38,-10,46,11
1996_1997,DER,38,11,13,14,45,58,-13,46,12
1996_1997,BLB,38,9,15,14,42,43,-1,42,13
1996_1997,WHU,38,10,12,16,39,48,-9,42,14
1996_1997,MID,38,10,12,16,51,60,-9,42,15
1996_1997,EVE,38,10,12,16,44,57,-13,42,16
1996_1997,SOU,38,10,11,17,50,56,-6,41,17
1996_1997,COV,38,9,14,15,38,54,-16,41,18
1996_1997,SUN,38,10,10,18,35,53,-18,40,19
1996_1997,NFO,38,6,16,16,31,59,-28,34,20
1996_1997,MUN,38,21,12,5,76,44,32,75,1
1996_1997,NEW,38,19,11,8,73,40,33,68,2
1995_1996,MUN,38,25,7,6,73,35,38,82,1
1995_1996,NEW,38,24,6,8,66,37,29,78,2
1995_1996,LIV,38,20,11,7,70,34,36,71,3
1995_1996,ARS,38,17,12,9,49,32,17,63,4
1995_1996,AVL,38,18,9,11,52,35,17,63,5
1995_1996,EVE,38,17,10,11,64,44,20,61,6
1995_1996,BLB,38,18,7,13,61,47,14,61,7
1995_1996,TOT,38,16,13,9,50,38,12,61,8
1995_1996,NFO,38,15,13,10,50,54,-4,58,9
1995_1996,WHU,38,14,9,15,43,52,-9,51,10
1995_1996,CHE,38,12,14,12,46,44,2,50,11
1995_1996,MID,38,11,10,17,35,50,-15,43,12
1995_1996,LEE,38,12,7,19,40,57,-17,43,13
1995_1996,WIM,38,10,11,17,55,70,-15,41,14
1995_1996,SHW,38,10,10,18,48,61,-13,40,15
1995_1996,SOU,38,9,11,18,34,52,-18,38,16
1995_1996,COV,38,8,14,16,42,60,-18,38,17
1995_1996,MCI,38,9,11,18,33,58,-25,38,18
1995_1996,QPR,38,9,6,23,38,57,-19,33,19
1995_1996,BOL,38,8,5,25,39,71,-32,29,20
1994_1995,BLB,42,27,8,7,80,39,41,89,1
1994_1995,MUN,42,26,10,6,77,28,49,88,2
1994_1995,NFO,42,22,11,9,72,43,29,77,3
1994_1995,LIV,42,21,11,10,65,37,28,74,4
1994_1995,LEE,42,20,13,9,59,38,21,73,5
1994_1995,NEW,42,20,12,10,67,47,20,72,6
1994_1995,TOT,42,16,14,12,66,58,8,62,7
1994_1995,QPR,42,17,9,16,61,59,2,60,8
1994_1995,WIM,42,15,11,16,48,65,-17,56,9
1994_1995,SOU,42,12,18,12,61,63,-2,54,10
1994_1995,CHE,42,13,15,14,50,55,-5,54,11
1994_1995,ARS,42,13,12,17,52,49,3,51,12
1994_1995,SHW,42,13,12,17,49,57,-8,51,13
1994_1995,WHU,42,13,11,18,44,48,-4,50,14
1994_1995,EVE,42,11,17,14,44,51,-7,50,15
1994_1995,COV,42,12,14,16,44,62,-18,50,16
1994_1995,MCI,42,12,13,17,53,64,-11,49,17
1994_1995,AVL,42,11,15,16,51,56,-5,48,18
1994_1995,CRY,42,11,12,19,34,49,-15,45,19
1994_1995,NOR,42,10,13,19,37,54,-17,43,20
1994_1995,LEI,42,6,11,25,45,80,-35,29,21
1994_1995,IPS,42,7,6,29,36,93,-57,27,22
1993_1994,MUN,42,27,11,4,80,38,42,92,1
1993_1994,BLB,42,25,9,8,63,36,27,84,2
1993_1994,NEW,42,23,8,11,82,41,41,77,3
1993_1994,ARS,42,18,17,7,53,28,25,71,4
1993_1994,LEE,42,18,16,8,65,39,26,70,5
1993_1994,WIM,42,18,11,13,56,53,3,65,6
1993_1994,SHW,42,16,16,10,76,54,22,64,7
1993_1994,LIV,42,17,9,16,59,55,4,60,8
1993_1994,QPR,42,16,12,14,62,61,1,60,9
1993_1994,AVL,42,15,12,15,46,50,-4,57,10
1993_1994,COV,42,14,14,14,43,45,-2,56,11
1993_1994,NOR,42,12,17,13,65,61,4,53,12
1993_1994,WHU,42,13,13,16,47,58,-11,52,13
1993_1994,CHE,42,13,12,17,49,53,-4,51,14
1993_1994,TOT,42,11,12,19,54,59,-5,45,15
1993_1994,MCI,42,9,18,15,38,49,-11,45,16
1993_1994,EVE,42,12,8,22,42,63,-21,44,17
1993_1994,SOU,42,12,7,23,49,66,-17,43,18
1993_1994,IPS,42,9,16,17,35,58,-23,43,19
1993_1994,SHU,42,8,18,16,42,60,-18,42,20
1993_1994,OLD,42,9,13,20,42,68,-26,40,21
1993_1994,SWI,42,5,15,22,47,100,-53,30,22
1992_1993,MUN,42,24,12,6,67,31,36,84,1
1992_1993,AVL,42,21,11,10,57,40,17,74,2
1992_1993,NOR,42,21,9,12,61,65,-4,72,3
1992_1993,BLB,42,20,11,11,68,46,22,71,4
1992_1993,QPR,42,17,12,13,63,55,8,63,5
1992_1993,LIV,42,16,11,15,62,55,7,59,6
1992_1993,SHW,42,15,14,13,55,51,4,59,7
1992_1993,TOT,42,16,11,15,60,66,-6,59,8
1992_1993,MCI,42,15,12,15,56,51,5,57,9
1992_1993,ARS,42,15,11,16,40,38,2,56,10
1992_1993,CHE,42,14,14,14,51,54,-3,56,11
1992_1993,WIM,42,14,12,16,56,55,1,54,12
1992_1993,EVE,42,15,8,19,53,55,-2,53,13
1992_1993,SHU,42,14,10,18,54,53,1,52,14
1992_1993,IPS,42,12,16,14,50,55,-5,52,15
1992_1993,COV,42,13,13,16,52,57,-5,52,16
1992_1993,LEE,42,12,15,15,57,62,-5,51,17
1992_1993,SOU,42,13,11,18,54,61,-7,50,18
1992_1993,OLD,42,13,10,19,63,74,-11,49,19
1992_1993,CRY,42,11,16,15,48,61,-13,49,20
1992_1993,MID,42,11,11,20,54,75,-21,44,21
1992_1993,NFO,42,10,10,22,41,62,-21,40,22
